SOVEREIGNTY CURVE: Mars Colony
========================================

Crew    Advantage    Status
----------------------------------------
  10       -362.96    DEPENDENT
  11       -352.96    DEPENDENT
  12       -342.96    DEPENDENT
  13       -332.96    DEPENDENT
  14       -322.96    DEPENDENT
  15       -312.96    DEPENDENT
  16       -302.96    DEPENDENT
  17       -292.96    DEPENDENT
  18       -282.96    DEPENDENT
  19       -272.96    DEPENDENT
  20       -262.96    DEPENDENT
  21       -252.96    DEPENDENT
  22       -242.96    DEPENDENT
  23       -232.96    DEPENDENT
  24       -222.96    DEPENDENT
  25       -212.96    DEPENDENT
  26       -202.96    DEPENDENT
  27       -192.96    DEPENDENT
  28       -182.96    DEPENDENT
  29       -172.96    DEPENDENT
  30       -162.96    DEPENDENT
  31       -152.96    DEPENDENT
  32       -142.96    DEPENDENT
  33       -132.96    DEPENDENT
  34       -122.96    DEPENDENT
  35       -112.96    DEPENDENT
  36       -102.96    DEPENDENT
  37        -92.96    DEPENDENT
  38        -82.96    DEPENDENT
  39        -72.96    DEPENDENT
  40        -62.96    DEPENDENT
  41        -52.96    DEPENDENT
  42        -42.96    DEPENDENT
  43        -32.96    DEPENDENT
  44        -22.96    DEPENDENT
  45        -12.96    DEPENDENT
  46         -2.96    DEPENDENT
  47         +7.04    SOVEREIGN <-- THRESHOLD
  48        +17.04    SOVEREIGN
  49        +27.04    SOVEREIGN
  50        +37.04    SOVEREIGN
  51        +47.04    SOVEREIGN
  52        +57.04    SOVEREIGN
  53        +67.04    SOVEREIGN
  54        +77.04    SOVEREIGN
  55        +87.04    SOVEREIGN
  56        +97.04    SOVEREIGN
  57       +107.04    SOVEREIGN
  58       +117.04    SOVEREIGN
  59       +127.04    SOVEREIGN
  60       +137.04    SOVEREIGN
  61       +147.04    SOVEREIGN
  62       +157.04    SOVEREIGN
  63       +167.04    SOVEREIGN
  64       +177.04    SOVEREIGN
  65       +187.04    SOVEREIGN
  66       +197.04    SOVEREIGN
  67       +207.04    SOVEREIGN
  68       +217.04    SOVEREIGN
  69       +227.04    SOVEREIGN
  70       +237.04    SOVEREIGN
  71       +247.04    SOVEREIGN
  72       +257.04    SOVEREIGN
  73       +267.04    SOVEREIGN
  74       +277.04    SOVEREIGN
  75       +287.04    SOVEREIGN
  76       +297.04    SOVEREIGN
  77       +307.04    SOVEREIGN
  78       +317.04    SOVEREIGN
  79       +327.04    SOVEREIGN
  80       +337.04    SOVEREIGN
  81       +347.04    SOVEREIGN
  82       +357.04    SOVEREIGN
  83       +367.04    SOVEREIGN
  84       +377.04    SOVEREIGN
  85       +387.04    SOVEREIGN
  86       +397.04    SOVEREIGN
  87       +407.04    SOVEREIGN
  88       +417.04    SOVEREIGN
  89       +427.04    SOVEREIGN
  90       +437.04    SOVEREIGN
  91       +447.04    SOVEREIGN
  92       +457.04    SOVEREIGN
  93       +467.04    SOVEREIGN
  94       +477.04    SOVEREIGN
  95       +487.04    SOVEREIGN
  96       +497.04    SOVEREIGN
  97       +507.04    SOVEREIGN
  98       +517.04    SOVEREIGN
  99       +527.04    SOVEREIGN
 100       +537.04    SOVEREIGN

----------------------------------------
THRESHOLD: 47 +/- 19 crew
========================================
